Code,Condition,Image id ,Subject's answer,Reaction time
hYfJMsdiK4,4,21,none,5.475
hYfJMsdiK4,4,22,none,5.582
hYfJMsdiK4,4,23,a type of bird,6.568
hYfJMsdiK4,4,24,a dirty sink,5.584
hYfJMsdiK4,4,25,a colorful fish,9.294
7eY76z8OKa,5,1,  clock,4.46
hYfJMsdiK4,4,26,none,3.903
7eY76z8OKa,5,2,truck,4.349
hYfJMsdiK4,4,27,none,4.316
7eY76z8OKa,5,3,flamingo,9.866
hYfJMsdiK4,4,28,none,3.984
7eY76z8OKa,5,4,violin,5.215
hYfJMsdiK4,4,29,none,10.564
7eY76z8OKa,5,5,words,4.982
hYfJMsdiK4,4,30,a lion,4.643
7eY76z8OKa,5,6,whistle ,5.885
7eY76z8OKa,5,7,shark,3.884
7eY76z8OKa,5,8,hour glass,4.427
7eY76z8OKa,5,9,duck,3.662
nIb2WZADNh,4,1,bear  ,7.375
7eY76z8OKa,5,10,fireman,5.824
nIb2WZADNh,4,2,squirrel,5.404
7eY76z8OKa,5,11,horse,3.286
nIb2WZADNh,4,3,rock,4.496
7eY76z8OKa,5,12,tent,3.678
nIb2WZADNh,4,4,fox,3.214
7eY76z8OKa,5,13,frame,3.926
nIb2WZADNh,4,5,deer,3.083
7eY76z8OKa,5,14,bus,3.264
nIb2WZADNh,4,6,banana,3.809
7eY76z8OKa,5,15,none,4.641
nIb2WZADNh,4,7,apple,4.078
7eY76z8OKa,5,16,none,3.475
nIb2WZADNh,4,8,plate,5.214
7eY76z8OKa,5,17,mushroom,4.357
nIb2WZADNh,4,9,bridge,4.986
7eY76z8OKa,5,18,mokey,3.334
7eY76z8OKa,5,19,none,3.722
nIb2WZADNh,4,10,fabric,10.625
7eY76z8OKa,5,20,none,3.718
nIb2WZADNh,4,11,toilet,4.07
7eY76z8OKa,5,21,none,3.372
7eY76z8OKa,5,22,hamster,4.255
7eY76z8OKa,5,23,bell,3.003
nIb2WZADNh,4,12,books,11.938
7eY76z8OKa,5,24,whistle,4.592
nIb2WZADNh,4,13,medical device,8.295
7eY76z8OKa,5,25,lemon,3.772
nIb2WZADNh,4,14,eye,5.023
7eY76z8OKa,5,26,lemur,3.475
7eY76z8OKa,5,27,hut,3.138
nIb2WZADNh,4,15,pan,8.162
7eY76z8OKa,5,28,sailboat,4.85
2V4VeTLD6H,5,1,None  ,10.765
nIb2WZADNh,4,16,hot air ballon,7.211
7eY76z8OKa,5,29,plane,3.381
7eY76z8OKa,5,30,car,2.42
nIb2WZADNh,4,17,sky scene,7.523
nIb2WZADNh,4,18,barrel,3.701
nIb2WZADNh,4,19,bicycle,9.037
nIb2WZADNh,4,20,tiger,9.314
nIb2WZADNh,4,21,chicken,3.996
nIb2WZADNh,4,22,shell,3.917
nIb2WZADNh,4,23,owl,6.547
nIb2WZADNh,4,24,sink,4.682
nIb2WZADNh,4,25,frog,3.845
nIb2WZADNh,4,26,bird,8.612
nIb2WZADNh,4,27,cat,4.358
nIb2WZADNh,4,28,toilet,3.391
nIb2WZADNh,4,29,snake,3.877
nIb2WZADNh,4,30,lion,4.071
MIn2PCBovY,6,1,  children,19.498
MIn2PCBovY,6,2,blue and pink patterns,28.976
MIn2PCBovY,6,3,landscapes,23.659
MIn2PCBovY,6,4,none,9.879
MIn2PCBovY,6,5,people,16.016
MIn2PCBovY,6,6,none,8.206
MIn2PCBovY,6,7,brown and yellow picture,25.461
MIn2PCBovY,6,8,round circle with lines through it,40.594
MIn2PCBovY,6,9,blue round figures,27.528
MIn2PCBovY,6,10,a figure on a blue background,30.927
MIn2PCBovY,6,11,dog,6.664
MIn2PCBovY,6,12,deer running,13.807
MIn2PCBovY,6,13,round white balls,27.193
MIn2PCBovY,6,14,none,16.597
fNiwr8JtEM,6,1,none  ,27.336
fNiwr8JtEM,6,2,none  ,2.329
U6IRj91KzC,2,1,"bird
  ",7.47
fNiwr8JtEM,6,3,none  ,2.491
fNiwr8JtEM,6,4,none  ,2.639
U6IRj91KzC,2,2,child,6.047
fNiwr8JtEM,6,5,none  ,2.593
fNiwr8JtEM,6,6,none  ,2.53
U6IRj91KzC,2,3,"flamingo
",8.351
S5sLHBUlOP,1,1,Person  ,5.715
S5sLHBUlOP,1,2,Car,3.407
