,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,
VeXoUByfl7,none  ,0,truck,2,flamingo,2,cello,2,none,0,shell,0,none,0,hour glass,2,duck,2,"face
",0,horse,2,tent,2,picture,2,bus,2,none,0,radiator,2,none,0,monkey,2,rabbit,2,none,0,painting,0,guinea pig,2,bell,2,soccer,2,balls,0,kangaroo,2,none,0,sailboat,2,plane,2,car,2
Gc9G47N4Eb,Squirrel  ,0,Truck,2,Duck,2,Guitar,2,Numbers,0,Snail,0,Snake,0,None,0,Duck,2,Jug,0,Cow,2,Pot,0,Square,2,Snake,0,Dog,2,Cactus,0,Mushroom,2,Cuckoo,0,Rat,0,Mickey,0,Girl,0,Rat,2,Bell,2,Football,2,Lemon,2,Fox,2,Mountain,2,Mountain,0,Flight,2,Car,2
7i1zgts0af,clock  ,2,truck,2,flamingo,2,violin,2,none,0,whistle,2,shark,2,hourglass,2,duck,2,saddle,0,horse,2,yurt,2,monitor,2,bus,2,none,0,none,0,face,0,squirrel,2,cat,0,bathtub,2,none,0,mouse,2,none,0,book,0,orange,2,racoon,2,mountain,2,sailboat,2,airplane,2,car,2
6l0mdJWKQb,painting  ,0,truck,2,swan,2,chello,2,none,0,none,0,none,0,glass,0,duck,2,none,0,none,0,candle,0,frame,2,car,2,none,0,none,0,none,0,dog,2,none,0,none,0,chair,2,mouse,2,bell,2,ball,2,none,0,none,0,mountain,2,none,0,plane,2,car,2
cxSme0opzS,It looks like some art  ,0,It is truck ,2,it is a bird,2,it is violin ,2,it is looks like a pattern,0,a man head design,0,no images seen,0,it like frog ,0,duck,2,some pattern,0,horse ,2,forest ,2,not possible to recognize,0,some shadow ,0,art ,0,sky,0,color pattern ,0,monkey,2,sky in color ,0,art ,0,color,0,lion,0,bell,2,parrot ,0,lemon ,2,dog,2,not possible to recognize ,0,boat,2,airplane ,2,man,0
K1LlC7SDit,Coin  ,0,Semi truck,2,Flamingo,2,Antique watch,0,Books,0,Bottom of an iron,0,Bowl,0,Just a colorful design,0,Duck,2,Birds head,0,Horse with foal,2,House in woods,2,Picture frame,2,The Roman coliseum,0,"Unrecognizable, white lite in the middle of various colors.",0,Feathers from a peacock,0,"Nothing showed, I think it malfunctioned",0,Gopher,0,"Unrecognizable design, white spot in various colors.",0,Pink square,0,"Unrecognizable to me, just various colors.",0,Head of a beaver possibly.,2,Maybe the top of bowls,2,Soccer ball,2,Two brownish flowers,0,Not sure just a pinkish orange color,0,Mountain,2,Maybe a cave entrance,0,Airplane,2,Car,2
wakUdvRncF,clock  ,2,mountain,0,flower,0,violar,2,not sure,0,rock,0,sea bed,0,garden,0,duck,2,ring,0,goat,0,snow flake,0,picture frame,2,bus,2,city,0,not sure,0,pond,0,monkey,2,nothing,0,face,0,person,0,ottor,2,pan,0,turtle,0,lemon,2,mice,0,not sure,0,ice cave,0,dry bed,0,car,2
yoZ00X7Bn3,  clock,2,truck,2,octopus,0,violin,2,none,0,whistle,2,shark,2,none,0,duck,2,none,0,horse,2,church,2,mirror,2,bus,2,none,0,fan,0,jellyfish,0,none,0,none,0,fish,0,none,0,mouse,2,bell,2,soccer ball,2,lemon,2,raccoon,2,whale,0,none,0,plane,2,car,2
R9AKW6EJxI,  Button,0,Tractor-trailer,2,Flamingo,2,Violin,2,None,0,Whistle,2,Shark,2,Hourglass,2,Duck,2,Helmet,0,Horse and foal,2,Tent,2,Computer monitor,2,School bus,2,None,0,Cupcake wrapper,0,Mushroom,2,Squirrel,2,Rabbit,2,Purse,0,Swing set,2,Guinea pig,2,,,None,0,Lemon ,2,Lemur,2,Mountain,2,Sailboat,2,Airplane,2,Car,2
QjnBQaVYLq,  clock,2,truck,2,flamingo,2,violin,2,none,0,skull,0,none,0,hourglass,2,duck,2,none,0,horse,2,shed,2,picture frame,2,school bus,2,none,0,accordian,0,mushroom,2,gorilla,2,none,0,skull,0,harp,0,hamster,2,bowl,0,soccer ball,2,lemon,2,kangaroo,2,mountain and lake,2,none,0,airplane,2,car,2
Qg715QVZcF,grass  ,0,"big rig truck, road",2,swan,2,violin,2,road,0,sock,0,ocean,0,hourglass,2,"duck, water",2,purse,0,"horse, grass",2,cabin,2,frame,2,duck,0,water,0,fan,0,mushroom,2,beaver,2,nothing,0,raft,0,swingset,2,hamster,2,bell,2,"whistle, soccer ball",2,blank screen,0,deer,2,mountains,2,shark,0,airplane,2,car,2
cevdVv3gRl,  token,0,car,2,crab,0,violin,2,monitor,0,guitar,0,whale,2,jungle,0,duck,2,glass,0,waterfall,0,house,2,photograph,2,old train,2,nothing,0,broccoli,0,silhouette,0,nothing,0,tremor,0,skull,0,cant see,0,rat,2,nothing,0,ball,2,nothing,0,giraffe,2,old house,2,cant see,0,aeroplane,2,pentagon,0
60IopN6H7o,Fruit  ,0,House,0,Bird,2,Volin,2,Carpet,0,Stone,0,Swan,0,Green,0,Duck,2,Flask,0,Swan,0,House,2,Board,2,Colors,0,Wall,0,Feather,0,Board,0,Statue,0,Colors,0,Hanger,0,Board,0,Bird,0,Clock,0,Mirror,0,Scene,0,Board,0,Board,0,Door,0,Cardboard,0,Car,2
vxfFABsXmF,none  ,0,truck,2,beak,2,violin,2,none,0,whistle,2,ground,0,time,2,duck,2,iron box,2,animal,2,stone,0,slate,0,none,0,ground,0,screen,0,abstract image,0,ground,0,color,0,stone,0,dress,0,ground,0,basin,0,none,0,fruit,2,animal,2,mountain,2,cloth,0,animal,0,pool,0
Qrtwfmcz6h,frog  ,0,truck,2,bird,2,guitar,2,none,0,snake,0,turkey,0,none,0,duck,2,none,0,none,0,house,2,none,0,none,0,none,0,none,0,none,0,none,0,none,0,none,0,none,0,chicken,0,vase,0,monkey,0,none,0,dog,2,none,0,none,0,airplane,2,car,2
xD5L4ROjmn,dog  ,0,truck,2,flamingo,2,violin,2,pencils,0,whistle,2,frog,0,hourglass,2,ducks,2,tennis shoes,0,horses,2,woods,2,cell phone,0,school bus,2,clouds,0,pencils,2,mushrooms,2,parrot,0,bunny,2,mouse,0,swingset,2,guinea pig,2,bell,2,toy box with soccer ball and other toys,2,lemon,2,kangaroo,2,trees lining a street,2,sailboat,2,airplane,2,car,2
